"customer_id","region","age","income_k","tenure_months","contract_type","payment_method","auto_pay","promo_eligible","primary_channel","brand_loyalty","deal_seeking","eco_consciousness","innovation_orientation","avg_usage_minutes","num_support_tickets","satisfaction_score","monthly_fee","email_click_rate","promo_response_rate","online_visits","num_transactions_12m","avg_order_value","total_spend_12m","recency_days","loyalty_tier","churn_probability_true","churned","margin_per_month","retention_rate","discount_rate_monthly","acq_cost","clv_gross","clv_net","segment"
"C00014","Northeast",35,79.4,13,"Annual","Debit Card",0,1,"Email",4.89,2.67,3.18,4.82,222,0,7.9,36.03,0.179,0.376,5,3,70.29,220.81,243,"Bronze",0.2207,0,18.32,0.812,0.01,11.46,75.13,63.67,2
"C00015","Northeast",39,84.4,10,"Monthly","Credit Card",0,0,"Email",4.39,3.3,3.29,5.54,296,1,7.5,47.78,0.083,0.254,7,3,104.15,275.26,4,"Bronze",0.7451,1,27.45,0.55,0.01,12.02,32.82,20.8,3
"C00016","Northeast",44,108.1,18,"Quarterly","Credit Card",0,0,"Social",4.69,4.08,3.5,3.26,223,1,7.3,43.4,0.286,0.296,3,4,86.41,360.69,70,"Silver",0.6762,1,26.42,0.55,0.01,30.71,31.59,0.88,2
"C00017","Midwest",21,84.3,43,"Monthly","Credit Card",1,1,"Search",4.21,4.31,2.61,5.51,195,2,6.6,50.4,0.175,0.197,0,2,167.69,336.47,57,"Silver",0.7754,1,29.62,0.55,0.01,44.74,35.42,-9.32,1
"C00018","South",32,103.3,28,"Monthly","Debit Card",0,1,"Email",3.64,3.95,4.65,5.08,242,0,7.8,47.32,0.216,0.317,2,2,104.67,201.71,58,"Silver",0.4233,1,25.87,0.64,0.01,14.9,44.75,29.85,2
"C00019","Midwest",47,69.7,30,"Annual","Debit Card",1,0,"Social",5.22,4.68,3.84,3.84,470,1,8.3,43.97,0.136,0.315,9,3,97.89,272.68,25,"Silver",0.2599,0,25.09,0.779,0.01,36.07,84.61,48.54,3
"C00020","Midwest",24,114.7,10,"Quarterly","Bank Transfer",0,1,"Search",4.04,5.3,3.56,3.2,401,0,8.5,46.9,0.084,0.14,9,2,119.46,248.81,19,"Bronze",0.3897,1,25.14,0.669,0.01,42.95,49.32,6.37,3
"C00021","South",41,87,31,"Annual","Credit Card",1,0,"Social",4.88,6.09,2.68,4.53,358,0,8.4,40.26,0.232,0.142,7,1,45.62,41.06,68,"Bronze",0.0696,0,20.61,0.941,0.01,39.61,281.07,241.46,3
"C00022","Northeast",23,83.4,36,"Annual","Credit Card",1,1,"Direct",5.15,4.84,2.62,3.23,298,1,7.6,34.7,0.196,0.386,6,0,112.98,0,137,"Bronze",0.158,0,21.99,0.866,0.01,7.07,132.25,125.18,3
"C00023","Midwest",43,42.4,10,"Monthly","Credit Card",0,0,"Direct",4.05,3.26,6.03,5.53,266,1,7.4,40.78,0.28,0.241,6,5,74.72,336.82,198,"Bronze",0.7932,1,21.56,0.55,0.01,21.7,25.78,4.08,3
"C00024","Midwest",38,86,20,"Monthly","Credit Card",1,1,"Social",3.38,4.04,3.21,3.16,269,0,7.9,40.21,0.133,0.165,1,2,63.63,137.63,34,"Bronze",0.4931,1,21.23,0.581,0.01,24.45,28.75,4.3,2
"C00025","Midwest",20,54.7,20,"Annual","PayPal",0,1,"Direct",7,4.12,4.57,5,287,3,6.7,33.65,0.246,0.343,1,4,104.77,458.99,28,"Silver",0.6271,1,17.67,0.55,0.01,10.05,21.13,11.08,1
"C00026","West",51,60.1,13,"Annual","Credit Card",0,0,"Email",4.12,4.77,4.08,4.31,311,0,8.1,49.9,0.249,0.133,9,2,39.22,88.79,26,"Bronze",0.3387,1,26.05,0.712,0.01,15.45,62.24,46.79,3
"C00027","Northeast",30,55.2,17,"Quarterly","Debit Card",1,1,"Email",5.39,4.63,1,3.78,285,1,7.6,37.86,0.149,0.081,6,7,104.54,723.72,93,"Silver",0.5107,0,19.37,0.566,0.01,13.26,24.69,11.43,4
"C00028","South",29,48.1,21,"Quarterly","Debit Card",1,1,"SMS",6.83,6.46,5.87,4.29,250,2,7.1,47.96,0.424,0.103,6,3,73.85,192.55,28,"Bronze",0.6163,0,22.93,0.55,0.01,8.77,27.42,18.65,2
"C00029","South",40,137.5,14,"Quarterly","Credit Card",1,1,"Search",5.57,3.69,4.65,5.59,172,0,7.7,40.14,0.2,0.181,1,3,98.52,311.31,35,"Bronze",0.3056,0,18.97,0.74,0.01,49.28,51.99,2.71,2
"C00030","Northeast",51,115.3,28,"Monthly","PayPal",1,0,"Search",4.37,4.62,3.06,3.09,213,3,6.1,46.39,0.235,0.566,6,2,26.23,49.04,25,"Bronze",0.8401,1,25.13,0.55,0.01,46.98,30.05,-16.93,1
"C00031","South",27,131.8,6,"Quarterly","Credit Card",1,1,"Social",4.63,6.79,3.87,3.95,320,1,7.7,46.55,0.125,0.176,5,4,120.39,422.72,129,"Bronze",0.4105,0,26.52,0.651,0.01,37.99,48.09,10.1,4
"C00032","Northeast",39,43.8,13,"Annual","Credit Card",0,1,"Email",3.78,3.56,2.64,3.57,261,1,7.3,45.83,0.471,0.255,7,2,82.11,181.75,13,"Bronze",0.4488,1,21.85,0.619,0.01,13.64,34.59,20.95,3
"C00033","Northeast",43,80,23,"Quarterly","PayPal",1,1,"Email",5.67,4.36,5.91,4.36,310,2,7.2,38.27,0.408,0.165,6,4,72.23,257.69,63,"Silver",0.6871,1,21.41,0.55,0.01,14.97,25.6,10.63,3
"C00034","West",46,41.8,40,"Monthly","PayPal",0,1,"Direct",5.32,3.16,2.9,3.65,248,2,6.9,45.65,0.351,0.095,7,1,49.02,49.11,41,"Silver",0.7107,1,27.67,0.55,0.01,9.98,33.08,23.1,2
"C00035","West",40,58.5,28,"Monthly","Credit Card",1,0,"Direct",4.13,4.29,3.32,2.46,153,3,5.8,54.56,0.213,0.38,4,2,96.89,210.55,21,"Silver",0.9264,1,29.06,0.55,0.01,10.56,34.75,24.19,1
"C00036","West",34,52.3,17,"Monthly","Credit Card",1,1,"Search",3.55,3.34,3.1,3.24,215,2,6.6,50.57,0.313,0.242,5,3,85.76,234.05,10,"Bronze",0.7058,1,25.83,0.55,0.01,46.77,30.88,-15.89,2
"C00037","Midwest",29,112.7,14,"Monthly","Credit Card",0,1,"Search",3.25,5.35,3.99,6.2,160,3,5.8,40.94,0.335,0.184,2,1,97.98,109.64,96,"Bronze",0.9554,1,22.4,0.55,0.01,39.03,26.78,-12.25,1
"C00038","Northeast",39,66.9,13,"Annual","Credit Card",1,0,"Social",5.79,4.36,5.41,4.67,185,1,7.3,42.63,0.222,0.028,4,3,55.76,158.83,39,"Bronze",0.5134,1,24.48,0.564,0.01,29.86,30.96,1.1,2
"C00039","South",26,107.9,13,"Monthly","Bank Transfer",1,1,"Email",4.83,3.17,5.87,4.63,351,1,7.8,39.46,0.149,0.158,2,1,100.58,97.45,45,"Bronze",0.3682,0,20.58,0.687,0.01,18.88,43.77,24.89,2
"C00040","Midwest",18,94.9,4,"Monthly","Debit Card",1,1,"Social",4.94,5.12,3.46,4.09,183,1,7.2,48.86,0.061,0.102,4,5,94.5,420.26,184,"Bronze",0.7077,0,28.78,0.55,0.01,35.26,34.41,-0.85,4
"C00041","Northeast",43,142.5,39,"Monthly","Credit Card",0,1,"Search",3.79,4.4,4.32,4.34,212,3,6,51.82,0.162,0.094,2,1,135.49,141.36,28,"Silver",0.9071,1,29.44,0.55,0.01,45.02,35.2,-9.82,1
"C00042","South",48,36.6,15,"Quarterly","PayPal",1,0,"Social",3.09,5.25,3.99,3.93,410,0,8.4,45.89,0.225,0.142,5,4,41.19,164.53,98,"Bronze",0.3905,1,28.7,0.668,0.01,43.33,56.06,12.73,3
"C00043","Northeast",18,113.3,9,"Monthly","Credit Card",1,1,"Email",5.76,2.94,2.82,4.98,312,1,7.8,45.61,0.166,0.094,3,4,74.26,339.29,47,"Bronze",0.5184,1,21.72,0.559,0.01,15.56,26.92,11.36,2
"C00044","West",27,110.1,20,"Monthly","Credit Card",0,0,"Direct",4.75,4.61,6.56,4.51,213,1,7.3,48.14,0.116,0.461,4,2,146.63,310.71,51,"Silver",0.7961,1,23.65,0.55,0.01,17.59,28.28,10.69,2
"C00045","Midwest",45,50.7,10,"Monthly","Bank Transfer",1,1,"Direct",5.7,5.05,5.4,3.11,261,3,6.5,49.86,0.36,0.277,2,2,80.64,173.81,7,"Bronze",0.9267,1,26.59,0.55,0.01,12.85,31.79,18.94,1
"C00046","South",61,106.2,26,"Monthly","PayPal",0,1,"Email",4.28,3.73,4.11,4.68,237,5,5.1,51.27,0.228,0.233,7,1,98.96,90.03,130,"Bronze",0.9778,1,25.52,0.55,0.01,24.15,30.51,6.36,1
"C00047","Midwest",38,87.4,9,"Monthly","PayPal",0,1,"Search",4.44,2.82,5.64,1.7,136,2,6.4,54.4,0.066,0.472,5,4,105.96,450.89,5,"Silver",0.9347,1,33.07,0.55,0.01,49.39,39.54,-9.85,1
"C00048","South",30,71.6,24,"Monthly","Credit Card",1,0,"Direct",5.48,4.15,5.23,4.86,308,1,7.7,54.14,0.121,0.358,8,5,135.76,690.49,34,"Silver",0.7412,1,30.24,0.55,0.01,7.46,36.16,28.7,4
"C00049","South",36,54.9,13,"Annual","PayPal",1,1,"Email",5.51,5.55,3.99,2.85,236,3,6.3,30.16,0.15,0.262,4,2,42.87,83.27,83,"Bronze",0.7666,1,15.93,0.55,0.01,29.88,19.05,-10.83,1
"C00050","Northeast",53,57.9,18,"Monthly","Credit Card",1,1,"Social",5.58,5.44,4.26,4.29,255,2,7,53.2,0.192,0.458,5,3,141.45,460.33,47,"Silver",0.7695,1,32.37,0.55,0.01,36.09,38.7,2.61,4
"C00051","West",31,135.4,25,"Monthly","Debit Card",1,0,"Social",4.38,3.73,5.56,3.09,341,1,7.7,52.14,0.332,0.34,11,2,92.15,210.76,0,"Bronze",0.4659,1,29.26,0.604,0.01,28.12,43.53,15.41,3
"C00052","South",29,78,11,"Quarterly","Bank Transfer",0,1,"SMS",5.38,2.79,2.86,4.4,336,0,8.4,45.77,0.181,0.362,15,5,92.39,405.79,154,"Bronze",0.5526,1,24.76,0.55,0.01,15.17,29.6,14.43,3
"C00053","West",33,99.9,25,"Monthly","Credit Card",0,1,"Direct",5.92,3.73,5.74,5.04,211,2,6.8,46.85,0.161,0.224,5,5,93.29,506.88,0,"Silver",0.783,0,24.2,0.55,0.01,20.84,28.93,8.09,4
"C00054","West",28,55.9,4,"Quarterly","PayPal",1,1,"SMS",4.58,3.68,3.65,6.05,309,1,7.6,39.5,0.16,0.261,8,6,127.15,858.91,1,"Silver",0.504,1,22.84,0.572,0.01,29.89,29.83,-0.06,4
"C00055","South",39,56.2,35,"Monthly","Credit Card",0,0,"Email",4.14,4.69,5.58,2.7,153,1,6.9,45.85,0.136,0.167,2,2,102.07,192.82,16,"Silver",0.5999,0,26.26,0.55,0.01,24.58,31.4,6.82,2
"C00056","West",56,108.3,27,"Quarterly","Credit Card",1,0,"Email",6.18,4.08,3.89,5.47,342,2,7.4,48.5,0.194,0.273,6,6,90.64,521.49,48,"Silver",0.55,0,28.04,0.55,0.01,14.75,33.53,18.78,4
"C00057","Northeast",42,40.2,15,"Quarterly","PayPal",1,1,"Email",3.98,3.37,4.27,4.54,284,2,6.9,45.29,0.102,0.15,9,2,45.77,99.64,189,"Bronze",0.6933,0,26.52,0.55,0.01,15.76,31.71,15.95,3
"C00058","Northeast",35,66.4,30,"Annual","Credit Card",0,0,"SMS",5.39,5.41,3.86,3.9,332,0,8.4,47.92,0.173,0.191,5,3,74.21,252.93,147,"Silver",0.1472,0,29.26,0.875,0.01,12.55,189.65,177.1,3
"C00059","Northeast",35,79,28,"Monthly","Debit Card",0,0,"Search",4.64,4.35,3.31,5.24,241,1,7.4,46.37,0.178,0.374,5,7,50.29,398.38,58,"Silver",0.5776,1,23.85,0.55,0.01,40.25,28.52,-11.73,4
"C00060","Midwest",21,81.1,16,"Monthly","Credit Card",1,1,"Email",2.67,4.68,3.6,4.14,431,2,7.3,41.56,0.036,0.273,5,6,109.84,571.18,77,"Silver",0.7651,1,27.33,0.55,0.01,19.02,32.68,13.66,4
"C00061","Midwest",48,73,15,"Monthly","Bank Transfer",1,0,"Search",5.94,2.3,5.42,5.19,171,1,7.2,41.47,0.18,0.548,3,6,67.3,448.79,56,"Silver",0.7571,1,26.41,0.55,0.01,51,31.58,-19.42,4
"C00062","Midwest",37,89.1,9,"Annual","Credit Card",1,1,"Search",1.67,1.53,1.35,3.31,350,2,6.9,38.94,0.31,0.063,6,0,81.24,0,47,"Bronze",0.5713,1,24.85,0.55,0.01,40.35,29.71,-10.64,3
"C00063","West",36,97.4,16,"Annual","Credit Card",1,1,"Email",2.52,2.62,2.54,3.7,186,1,6.9,37.34,0.162,0.003,1,4,119.91,468.29,82,"Silver",0.3549,0,20.12,0.698,0.01,16,45.01,29.01,4
"C00064","Midwest",70,98.6,5,"Monthly","Credit Card",1,1,"Search",5.28,3.67,3.1,5.44,282,0,8.1,45.83,0.12,0.357,7,7,115.13,889.45,18,"Silver",0.5194,1,23.78,0.559,0.01,43.74,29.47,-14.27,4
"C00065","Midwest",41,50.4,24,"Monthly","Bank Transfer",0,1,"Search",5.28,4.83,2.71,6.03,320,0,8.3,45.51,0.174,0.281,6,2,94.71,206.49,16,"Bronze",0.4543,0,25.24,0.614,0.01,47.1,39.13,-7.97,3
"C00066","South",30,70,24,"Monthly","PayPal",0,0,"Social",4,1.62,5.56,4.36,257,1,7.3,39.66,0.08,0.178,8,4,60.89,244.24,7,"Silver",0.7705,0,22.38,0.55,0.01,44.32,26.76,-17.56,3
"C00067","Northeast",33,111.5,4,"Monthly","PayPal",1,0,"SMS",4.86,5.95,5.28,1.33,149,0,7.6,49.84,0.039,0.12,5,7,96.55,657.75,12,"Silver",0.6903,1,29.13,0.55,0.01,17.8,34.83,17.03,4
"C00068","West",51,103.1,33,"Monthly","Credit Card",0,1,"Search",1.92,4.39,4.55,4.18,279,0,7.7,50.14,0.205,0.022,6,4,67.45,267.57,188,"Silver",0.3061,1,27.25,0.74,0.01,40.97,74.69,33.72,3
"C00069","Northeast",39,39.6,11,"Monthly","Credit Card",0,0,"Direct",5.48,5.7,3.2,4.44,253,2,6.9,49.77,0.087,0.201,5,3,90.73,257.36,82,"Bronze",0.7744,1,29.22,0.55,0.01,12.82,34.94,22.12,2
"C00070","West",22,87.8,63,"Quarterly","Credit Card",1,1,"Social",4.97,3.23,5.37,4.14,514,1,8.5,43.21,0.29,0.182,8,6,49.72,314.48,6,"Gold",0.1578,0,23.07,0.866,0.01,33.4,138.74,105.34,3
"C00071","South",48,25,18,"Annual","Debit Card",1,1,"SMS",4.65,4.75,2.15,4.77,215,1,7.2,36.22,0.277,0.474,8,1,108.55,121.32,18,"Bronze",0.4528,1,20.02,0.615,0.01,18.28,31.17,12.89,2
"C00072","Northeast",31,79.3,33,"Annual","Credit Card",0,0,"Social",4.72,4.29,6.26,3.88,253,1,7.4,42.83,0.193,0.068,2,2,89.31,165.25,269,"Silver",0.4992,1,25,0.576,0.01,33.46,33.18,-0.28,2
"C00073","Northeast",59,131.1,8,"Monthly","Bank Transfer",1,1,"Email",5.24,5.1,3.15,5.32,266,2,7,46.14,0.084,0.322,4,1,98.78,108.43,84,"Bronze",0.848,1,25.62,0.55,0.01,10.69,30.63,19.94,2
"C00074","West",50,51.5,13,"Quarterly","PayPal",1,0,"Social",4.67,3.94,3.61,3.12,230,1,7.3,40.7,0.145,0.075,7,4,86.43,331.28,28,"Bronze",0.5162,0,21.03,0.561,0.01,31.36,26.28,-5.08,2
"C00075","South",33,54.6,11,"Annual","Credit Card",0,0,"SMS",2.64,4.72,3.43,5.76,273,1,7.2,52.16,0.165,0.251,5,2,80.83,143.8,15,"Bronze",0.6694,1,26.88,0.55,0.01,14.6,32.14,17.54,2
"C00076","South",52,99.4,5,"Monthly","Credit Card",1,1,"Email",7,5.41,2.72,6.11,339,3,6.9,49.18,0.102,0.672,8,3,96.62,249.9,8,"Bronze",0.8745,0,29.18,0.55,0.01,18.07,34.89,16.82,3
"C00077","South",39,34.8,7,"Quarterly","PayPal",0,1,"Social",6.02,3.48,6.02,3.4,20,1,6.6,45.64,0.269,0.193,3,4,108.9,432.9,55,"Bronze",0.8731,1,26.09,0.55,0.01,32.65,31.19,-1.46,2
"C00078","Northeast",47,60.3,14,"Monthly","Credit Card",1,1,"Email",3.29,4.47,4.77,3.4,178,0,7.5,50.51,0.291,0.09,2,3,107.81,330.06,84,"Bronze",0.5413,1,30.56,0.55,0.01,14.73,36.54,21.81,2
"C00079","Midwest",43,94.7,19,"Monthly","Credit Card",0,0,"SMS",4.32,2.12,5.24,4.85,91,0,7.3,55.94,0.185,0.049,3,3,109.89,280.82,0,"Bronze",0.544,1,33.06,0.55,0.01,22.1,39.53,17.43,2
"C00080","Northeast",29,60.2,8,"Monthly","Credit Card",1,0,"Email",4.44,4.97,2.55,3.09,111,1,6.8,52.87,0.162,0.254,2,6,84.31,529.02,4,"Silver",0.7106,0,28.52,0.55,0.01,5,34.1,29.1,4
"C00081","West",31,71.4,12,"Monthly","Debit Card",0,0,"Email",5.89,6.35,4.1,3.86,442,1,8.3,40.26,0.247,0.185,7,7,73.1,514.54,36,"Silver",0.6355,0,24.16,0.55,0.01,16.1,28.89,12.79,4
"C00082","South",49,98.8,10,"Quarterly","PayPal",1,0,"Direct",2.32,2.83,4.47,5.61,326,1,7.4,42.06,0.235,0.357,8,3,123.13,424.51,52,"Bronze",0.5702,1,23.84,0.55,0.01,13.17,28.5,15.33,3
"C00083","Midwest",34,89.8,15,"Monthly","Credit Card",1,0,"Direct",4.15,4.1,4.2,5.21,338,0,8.2,50.54,0.49,0.311,5,5,64.46,284.06,140,"Bronze",0.4031,0,27.57,0.657,0.01,17.85,51.31,33.46,3
"C00084","Northeast",34,85.5,23,"Monthly","Credit Card",1,1,"Email",2.76,5.17,2.62,6.58,273,2,6.7,49.74,0.092,0.571,9,4,143.1,607.61,122,"Silver",0.7055,1,32.66,0.55,0.01,21.65,39.05,17.4,4
"C00085","Midwest",27,68.5,17,"Monthly","Credit Card",1,1,"Social",4.39,4.23,5.08,4.59,318,2,7.1,46.71,0.067,0.176,8,5,103.46,473.39,63,"Silver",0.7695,1,30.38,0.55,0.01,42.62,36.32,-6.3,4
"C00086","Midwest",43,88.4,11,"Annual","PayPal",0,0,"Email",4.18,4.38,4.03,3.73,103,2,6.2,37.4,0.241,0.332,3,4,118.31,431.55,93,"Silver",0.8297,1,21.87,0.55,0.01,9.4,26.15,16.75,1
"C00087","South",61,74.5,28,"Monthly","Credit Card",1,0,"Social",4.79,3.77,2.85,4.46,361,1,7.8,45.33,0.073,0.16,4,2,97.53,166.9,20,"Bronze",0.4302,0,23.23,0.634,0.01,41.28,39.17,-2.11,3
"C00088","South",26,90.8,19,"Quarterly","Credit Card",0,1,"Social",4.03,3.73,1.86,4.23,193,3,6,44.13,0.466,0.206,7,4,83.81,285.61,12,"Bronze",0.9146,1,23.31,0.55,0.01,36.79,27.87,-8.92,1
"C00089","West",38,64.1,17,"Quarterly","Bank Transfer",1,1,"Email",3.87,4.1,4.57,4.25,223,1,7.2,44.11,0.014,0.041,5,2,108.13,195.93,6,"Bronze",0.6508,1,23.18,0.55,0.01,14.78,27.72,12.94,2
"C00090","Midwest",54,72.9,8,"Monthly","Bank Transfer",0,1,"Search",5.38,4.25,6.6,4.37,269,2,7,49.79,0.321,0.144,4,7,44.41,280.61,10,"Bronze",0.8992,1,29.01,0.55,0.01,42.65,34.69,-7.96,4
"C00091","Northeast",37,50.3,26,"Monthly","Bank Transfer",1,0,"Email",5.2,2.9,2.78,3.38,282,0,8.1,45.06,0.056,0.39,5,4,59.52,202.4,172,"Silver",0.2501,1,25.55,0.787,0.01,36.75,90.17,53.42,3
"C00092","South",43,77,20,"Quarterly","PayPal",1,0,"Email",5.31,4.13,4.09,4.71,289,3,6.5,47.15,0.231,0.222,7,3,80.37,256.82,144,"Bronze",0.8543,1,25.31,0.55,0.01,18.87,30.26,11.39,1
"C00093","South",26,55.3,21,"Monthly","Credit Card",1,1,"Search",4.51,5.93,5.12,2.85,117,2,6.3,42.01,0.329,0.502,3,2,36.82,73.72,12,"Bronze",0.8857,0,27.24,0.55,0.01,42.48,32.57,-9.91,2
"C00094","South",43,46.8,14,"Monthly","Credit Card",0,1,"Search",4.07,3.74,2.5,3.61,235,2,6.7,42.65,0.114,0.432,7,3,93.78,272.57,31,"Bronze",0.8865,1,22.6,0.55,0.01,47.15,27.02,-20.13,2
"C00095","South",36,85.2,12,"Quarterly","Credit Card",1,1,"Social",4.57,2.84,3.37,4.27,349,1,7.8,42.54,0.057,0.343,7,2,121.6,214.29,16,"Bronze",0.6103,0,27.12,0.55,0.01,33.69,32.43,-1.26,3
"C00096","South",49,84,40,"Monthly","Credit Card",1,1,"Social",5.25,4.03,2.95,1.91,216,5,5.1,37.95,0.136,0.522,7,2,30.97,58.85,56,"Silver",0.9728,1,23.21,0.55,0.01,30.25,27.75,-2.5,1
"C00097","South",51,99.9,12,"Monthly","Bank Transfer",1,0,"Social",2.31,3.41,4.98,5.25,365,2,7,49.45,0.187,0.261,14,5,80.61,399.49,17,"Bronze",0.7495,0,28.49,0.55,0.01,43.42,34.06,-9.36,3
"C00098","Midwest",66,65.9,7,"Monthly","PayPal",1,1,"Social",5.13,2.73,5.36,2.14,128,1,7,51.68,0.238,0.151,6,7,70.88,570.29,8,"Silver",0.8507,0,26.87,0.55,0.01,26.36,32.13,5.77,4
"C00099","Northeast",44,89.4,17,"Monthly","PayPal",1,1,"SMS",5.04,4.35,4.07,5.14,256,0,8,43.48,0.057,0.205,2,2,98.71,198.05,91,"Bronze",0.5184,0,27.12,0.559,0.01,22.26,33.61,11.35,2
"C00100","Northeast",42,93.4,15,"Quarterly","Credit Card",1,0,"Social",4.77,3.42,2.97,2.98,393,2,7.4,56.98,0.277,0.261,10,6,107.98,554.49,156,"Silver",0.6815,1,35.28,0.55,0.01,34.61,42.18,7.57,4
"C00101","Northeast",40,90.5,28,"Quarterly","PayPal",0,1,"Social",4.54,3.51,3.41,3.95,219,1,7.3,43.09,0.105,0.343,5,8,78.52,573.08,7,"Silver",0.6546,1,24.17,0.55,0.01,30,28.9,-1.1,4
"C00102","South",34,54.9,14,"Quarterly","PayPal",1,1,"Search",1.88,4.37,3.21,4.97,368,0,8.1,44.23,0,0.245,7,5,108.1,516.91,15,"Silver",0.317,1,26.82,0.731,0.01,34.09,70.27,36.18,4
"C00103","Midwest",42,82.2,22,"Quarterly","Credit Card",0,0,"Search",4.22,2.51,2.83,6.82,476,1,8.2,40.21,0.069,0.205,9,8,95.63,754.92,19,"Silver",0.4528,1,22.31,0.615,0.01,41.24,34.74,-6.5,4
"C00104","South",35,88.2,34,"Monthly","PayPal",1,0,"SMS",6.67,2.28,3.79,4.53,295,0,8.4,58.12,0.257,0.251,4,1,70.7,74.4,54,"Bronze",0.2207,0,34.98,0.812,0.01,24.2,143.45,119.25,2
"C00105","West",40,78.2,20,"Monthly","Credit Card",1,0,"SMS",4.71,4.94,4.53,2.22,184,4,5.5,45.24,0.059,0.416,6,4,84.96,349.08,13,"Silver",0.9413,1,22.99,0.55,0.01,28.29,27.49,-0.8,1
"C00106","Midwest",52,25,8,"Monthly","Credit Card",1,0,"SMS",4.36,2.08,4.44,5.45,172,2,6.5,47.81,0.43,0.064,6,2,41.42,83.07,21,"Bronze",0.8727,1,28.27,0.55,0.01,17.37,33.8,16.43,2
"C00107","Midwest",27,82.5,4,"Monthly","Debit Card",1,1,"Social",4.72,3.13,3.89,4.14,339,0,8.3,44.27,0.011,0.047,4,4,78.06,343.89,93,"Bronze",0.445,0,19.31,0.622,0.01,30.29,30.96,0.67,3
"C00108","South",51,140,20,"Annual","Debit Card",1,1,"Social",5.09,2.22,3.96,4.48,409,0,8.6,40.76,0.087,0.345,4,3,93.61,255.24,2,"Bronze",0.0968,0,20.08,0.918,0.01,44.16,200.36,156.2,3
